['107', '2015-12-1']
['107', '2015-12-1']
['107', '2015-12-1']
['107', '2015-12-1']
['107', '2015-12-1']
['107', '2015-12-1']
['107', '2015-12-10']
['107', '2015-12-10']
['107', '2015-12-10']
['107', '2015-12-10']
['107', '2015-12-10']
['107', '2015-12-10']
['107', '2015-12-2']
['107', '2015-12-2']
['107', '2015-12-2']
['107', '2015-12-2']
['107', '2015-12-2']
['107', '2015-12-2']
['107', '2015-12-3']
['107', '2015-12-3']
['107', '2015-12-3']
['107', '2015-12-3']
['107', '2015-12-4']
['107', '2015-12-4']
['107', '2015-12-4']
['107', '2015-12-4']
['107', '2015-12-4']
['107', '2015-12-5']
['107', '2015-12-6']
['107', '2015-12-6']
['107', '2015-12-7']
['107', '2015-12-7']
['107', '2015-12-7']
['107', '2015-12-7']
['107', '2015-12-7']
['107', '2015-12-8']
['107', '2015-12-8']
['107', '2015-12-8']
['107', '2015-12-8']
['107', '2015-12-8']
['107', '2015-12-8']
['107', '2015-12-9']
['107', '2015-12-9']
['107', '2015-12-9']
['108', '2015-12-1']
['108', '2015-12-1']
['108', '2015-12-1']
['108', '2015-12-1']
['108', '2015-12-1']
['108', '2015-12-1']
['108', '2015-12-1']
['108', '2015-12-1']
['108', '2015-12-1']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-10']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-2']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-3']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-4']
['108', '2015-12-5']
['108', '2015-12-5']
['108', '2015-12-5']
['108', '2015-12-5']
['108', '2015-12-5']
['108', '2015-12-5']
['108', '2015-12-5']
['108', '2015-12-5']
['108', '2015-12-6']
['108', '2015-12-6']
['108', '2015-12-6']
['108', '2015-12-6']
['108', '2015-12-6']
['108', '2015-12-6']
['108', '2015-12-6']
['108', '2015-12-6']
['108', '2015-12-6']
['108', '2015-12-7']
['108', '2015-12-7']
['108', '2015-12-7']
['108', '2015-12-7']
['108', '2015-12-7']
['108', '2015-12-7']
['108', '2015-12-7']
['108', '2015-12-7']
['108', '2015-12-7']
['108', '2015-12-7']
['108', '2015-12-8']
['108', '2015-12-8']
['108', '2015-12-8']
['108', '2015-12-8']
['108', '2015-12-8']
['108', '2015-12-8']
['108', '2015-12-8']
['108', '2015-12-8']
['108', '2015-12-8']
['108', '2015-12-8']
['108', '2015-12-8']
